Model_name,Most_similar,Least_similar
inception_v3,bittern,ostrich
xception,bittern,ostrich
vgg16,European_gallinule,African_grey
vgg19,bittern,African_grey
resnet50,European_gallinule,African_grey
resnet50v2,kite,ostrich
resnet101,European_gallinule,African_grey
resnet101v2,magpie,ostrich
resnet152,European_gallinule,African_grey
resnet152v2,magpie,ostrich
inception_resnet_v2,kite,ostrich
mobilenetv2_1.00_224,kite,ostrich
densenet169,bittern,ostrich
densenet201,bittern,ostrich
NASNet,kite,African_grey
NASNet,European_gallinule,ostrich
efficientnetv2-b0,European_gallinule,African_grey
efficientnetv2-b1,bittern,African_grey
efficientnetv2-b2,bittern,African_grey
efficientnetv2-b3,bittern,African_grey
efficientnetv2-s,bittern,African_grey
convnext_tiny,bittern,African_grey
convnext_small,bittern,ostrich
microsoft/swinv2-tiny-patch4-window8-256,kite,African_grey
apple/mobilevit-small,bittern,African_grey
apple/mobilevit-xx-small,kite,lorikeet
microsoft/swin-base-patch4-window7-224,bittern,brambling
microsoft/swin-base-patch4-window12-384,bittern,brambling
microsoft/swin-tiny-patch4-window7-224,kite,ostrich
facebook/deit-base-patch16-224,European_gallinule,ostrich
facebook/deit-small-patch16-224,kite,African_grey
microsoft/swinv2-small-patch4-window16-256,bittern,ostrich
microsoft/swinv2-base-patch4-window16-256,kite,African_grey
facebook/deit-base-patch16-384,kite,ostrich
facebook/deit-tiny-patch16-224,kite,ostrich
microsoft/cvt-13,kite,African_grey
microsoft/cvt-21,bittern,African_grey
facebook/levit-128S,kite,king_penguin
facebook/levit-128,kite,ostrich
facebook/levit-192,bittern,ostrich
facebook/levit-256,European_gallinule,ostrich
facebook/levit-384,European_gallinule,king_penguin
