Model_name,Most_similar,Least_similar
inception_v3,English_springer,Irish_water_spaniel
xception,English_setter,Sealyham_terrier
vgg16,English_setter,Italian_greyhound
vgg19,English_setter,komondor
resnet50,English_setter,Siberian_husky
resnet50v2,Irish_wolfhound,Japanese_spaniel
resnet101,English_setter,Italian_greyhound
resnet101v2,English_springer,Japanese_spaniel
resnet152,English_springer,Italian_greyhound
resnet152v2,Irish_wolfhound,Japanese_spaniel
inception_resnet_v2,golden_retriever,Irish_water_spaniel
mobilenetv2_1.00_224,Cardigan,Japanese_spaniel
densenet169,Gordon_setter,Samoyed
densenet201,Gordon_setter,Samoyed
NASNet,Bernese_mountain_dog,dalmatian
NASNet,golden_retriever,dalmatian
efficientnetv2-b0,golden_retriever,komondor
efficientnetv2-b1,English_setter,black-and-tan_coonhound
efficientnetv2-b2,English_setter,komondor
efficientnetv2-b3,golden_retriever,Japanese_spaniel
efficientnetv2-s,Bernese_mountain_dog,dalmatian
convnext_tiny,golden_retriever,dalmatian
convnext_small,golden_retriever,dalmatian
microsoft/swinv2-tiny-patch4-window8-256,golden_retriever,dalmatian
apple/mobilevit-small,Saint_Bernard,redbone
apple/mobilevit-xx-small,English_springer,komondor
microsoft/swin-base-patch4-window7-224,Bernese_mountain_dog,Japanese_spaniel
microsoft/swin-base-patch4-window12-384,Bernese_mountain_dog,Japanese_spaniel
microsoft/swin-tiny-patch4-window7-224,golden_retriever,komondor
facebook/deit-base-patch16-224,Norwegian_elkhound,komondor
facebook/deit-small-patch16-224,Norwegian_elkhound,dalmatian
microsoft/swinv2-small-patch4-window16-256,golden_retriever,dalmatian
microsoft/swinv2-base-patch4-window16-256,golden_retriever,redbone
facebook/deit-base-patch16-384,Bernese_mountain_dog,komondor
facebook/deit-tiny-patch16-224,Norwegian_elkhound,komondor
microsoft/cvt-13,Bernese_mountain_dog,Irish_water_spaniel
microsoft/cvt-21,Bernese_mountain_dog,affenpinscher
facebook/levit-128S,Bernese_mountain_dog,komondor
facebook/levit-128,Bernese_mountain_dog,komondor
facebook/levit-192,Bernese_mountain_dog,komondor
facebook/levit-256,Saluki,komondor
facebook/levit-384,Saluki,dalmatian
