Model_name,Most_similar,Least_similar
inception_v3,tabby,Siamese_cat
xception,tabby,Siamese_cat
vgg16,tabby,Siamese_cat
vgg19,tabby,Siamese_cat
resnet50,tabby,Siamese_cat
resnet50v2,tabby,Persian_cat
resnet101,tabby,Siamese_cat
resnet101v2,tabby,Siamese_cat
resnet152,tabby,Persian_cat
resnet152v2,tabby,Siamese_cat
inception_resnet_v2,tabby,Siamese_cat
mobilenetv2_1.00_224,tabby,Siamese_cat
densenet169,tabby,Siamese_cat
densenet201,tabby,Siamese_cat
NASNet,tabby,Siamese_cat
NASNet,tabby,Siamese_cat
efficientnetv2-b0,tabby,Siamese_cat
efficientnetv2-b1,tabby,Persian_cat
efficientnetv2-b2,tabby,Persian_cat
efficientnetv2-b3,tabby,Siamese_cat
efficientnetv2-s,tabby,Persian_cat
convnext_tiny,tabby,Siamese_cat
convnext_small,tabby,Siamese_cat
microsoft/swinv2-tiny-patch4-window8-256,tabby,Siamese_cat
apple/mobilevit-small,tabby,Persian_cat
apple/mobilevit-xx-small,tabby,Siamese_cat
microsoft/swin-base-patch4-window7-224,tabby,Siamese_cat
microsoft/swin-base-patch4-window12-384,tabby,Siamese_cat
microsoft/swin-tiny-patch4-window7-224,tabby,Siamese_cat
facebook/deit-base-patch16-224,tabby,Siamese_cat
facebook/deit-small-patch16-224,tabby,Siamese_cat
microsoft/swinv2-small-patch4-window16-256,tabby,Siamese_cat
microsoft/swinv2-base-patch4-window16-256,tabby,Siamese_cat
facebook/deit-base-patch16-384,tabby,Siamese_cat
facebook/deit-tiny-patch16-224,tabby,Siamese_cat
microsoft/cvt-13,tabby,Siamese_cat
microsoft/cvt-21,tabby,Siamese_cat
facebook/levit-128S,tabby,Siamese_cat
facebook/levit-128,tabby,Siamese_cat
facebook/levit-192,tabby,Siamese_cat
facebook/levit-256,tabby,Siamese_cat
facebook/levit-384,tabby,Siamese_cat
