Model_name,Most_similar,Least_similar
inception_v3,gar,anemone_fish
xception,eel,anemone_fish
vgg16,tiger_shark,anemone_fish
vgg19,tiger_shark,anemone_fish
resnet50,sturgeon,anemone_fish
resnet50v2,sturgeon,anemone_fish
resnet101,sturgeon,lionfish
resnet101v2,gar,anemone_fish
resnet152,sturgeon,anemone_fish
resnet152v2,sturgeon,anemone_fish
inception_resnet_v2,eel,anemone_fish
mobilenetv2_1.00_224,gar,lionfish
densenet169,sturgeon,anemone_fish
densenet201,sturgeon,anemone_fish
NASNet,eel,anemone_fish
NASNet,eel,anemone_fish
efficientnetv2-b0,eel,lionfish
efficientnetv2-b1,gar,anemone_fish
efficientnetv2-b2,gar,anemone_fish
efficientnetv2-b3,gar,anemone_fish
efficientnetv2-s,eel,anemone_fish
convnext_tiny,gar,anemone_fish
convnext_small,gar,lionfish
microsoft/swinv2-tiny-patch4-window8-256,sturgeon,lionfish
apple/mobilevit-small,gar,rock_beauty
apple/mobilevit-xx-small,hammerhead,anemone_fish
microsoft/swin-base-patch4-window7-224,eel,rock_beauty
microsoft/swin-base-patch4-window12-384,eel,rock_beauty
microsoft/swin-tiny-patch4-window7-224,eel,lionfish
facebook/deit-base-patch16-224,eel,anemone_fish
facebook/deit-small-patch16-224,eel,anemone_fish
microsoft/swinv2-small-patch4-window16-256,gar,anemone_fish
microsoft/swinv2-base-patch4-window16-256,eel,lionfish
facebook/deit-base-patch16-384,eel,anemone_fish
facebook/deit-tiny-patch16-224,eel,anemone_fish
microsoft/cvt-13,gar,lionfish
microsoft/cvt-21,eel,lionfish
facebook/levit-128S,eel,anemone_fish
facebook/levit-128,eel,anemone_fish
facebook/levit-192,eel,anemone_fish
facebook/levit-256,eel,anemone_fish
facebook/levit-384,gar,anemone_fish
