Model_name,Most_similar,Least_similar
inception_v3,German_shepherd,grey_whale
xception,German_shepherd,grey_whale
vgg16,Leonberg,killer_whale
vgg19,Leonberg,killer_whale
resnet50,chow,grey_whale
resnet50v2,bluetick,killer_whale
resnet101,Norwegian_elkhound,hamster
resnet101v2,bluetick,grey_whale
resnet152,Tibetan_mastiff,hamster
resnet152v2,kelpie,grey_whale
inception_resnet_v2,German_shepherd,killer_whale
mobilenetv2_1.00_224,English_setter,grey_whale
densenet169,German_shepherd,grey_whale
densenet201,groenendael,grey_whale
NASNet,Leonberg,killer_whale
NASNet,Leonberg,killer_whale
efficientnetv2-b0,Norwegian_elkhound,dugong
efficientnetv2-b1,malinois,dugong
efficientnetv2-b2,German_shepherd,grey_whale
efficientnetv2-b3,German_shepherd,grey_whale
efficientnetv2-s,Tibetan_mastiff,killer_whale
convnext_tiny,Tibetan_mastiff,killer_whale
convnext_small,Leonberg,killer_whale
microsoft/swinv2-tiny-patch4-window8-256,Norwegian_elkhound,killer_whale
apple/mobilevit-small,Siamese_cat,grey_whale
apple/mobilevit-xx-small,Saint_Bernard,killer_whale
microsoft/swin-base-patch4-window7-224,schipperke,grey_whale
microsoft/swin-base-patch4-window12-384,schipperke,grey_whale
microsoft/swin-tiny-patch4-window7-224,Norwegian_elkhound,killer_whale
facebook/deit-base-patch16-224,Norwegian_elkhound,grey_whale
facebook/deit-small-patch16-224,Norwegian_elkhound,grey_whale
microsoft/swinv2-small-patch4-window16-256,Norwegian_elkhound,killer_whale
microsoft/swinv2-base-patch4-window16-256,Norwegian_elkhound,grey_whale
facebook/deit-base-patch16-384,Norwegian_elkhound,killer_whale
facebook/deit-tiny-patch16-224,Norwegian_elkhound,killer_whale
microsoft/cvt-13,Norwegian_elkhound,grey_whale
microsoft/cvt-21,Norwegian_elkhound,killer_whale
facebook/levit-128S,chow,dugong
facebook/levit-128,Leonberg,dugong
facebook/levit-192,malamute,dugong
facebook/levit-256,chow,dugong
facebook/levit-384,timber_wolf,killer_whale
