Model_name,Most_similar,Least_similar
inception_v3,cello,organ
xception,bassoon,organ
vgg16,bassoon,chime
vgg19,bassoon,chime
resnet50,sax,organ
resnet50v2,cello,organ
resnet101,sax,chime
resnet101v2,cello,organ
resnet152,sax,organ
resnet152v2,banjo,organ
inception_resnet_v2,banjo,organ
mobilenetv2_1.00_224,sax,organ
densenet169,cello,organ
densenet201,cello,organ
NASNet,bassoon,organ
NASNet,bassoon,organ
efficientnetv2-b0,sax,organ
efficientnetv2-b1,sax,organ
efficientnetv2-b2,sax,organ
efficientnetv2-b3,sax,organ
efficientnetv2-s,bassoon,organ
convnext_tiny,sax,ocarina
convnext_small,accordion,ocarina
microsoft/swinv2-tiny-patch4-window8-256,banjo,ocarina
apple/mobilevit-small,sax,organ
apple/mobilevit-xx-small,bassoon,organ
microsoft/swin-base-patch4-window7-224,accordion,organ
microsoft/swin-base-patch4-window12-384,accordion,organ
microsoft/swin-tiny-patch4-window7-224,banjo,ocarina
facebook/deit-base-patch16-224,cello,ocarina
facebook/deit-small-patch16-224,bassoon,ocarina
microsoft/swinv2-small-patch4-window16-256,cello,organ
microsoft/swinv2-base-patch4-window16-256,cello,organ
facebook/deit-base-patch16-384,bassoon,ocarina
facebook/deit-tiny-patch16-224,bassoon,ocarina
microsoft/cvt-13,bassoon,organ
microsoft/cvt-21,bassoon,organ
facebook/levit-128S,bassoon,chime
facebook/levit-128,bassoon,chime
facebook/levit-192,bassoon,ocarina
facebook/levit-256,bassoon,chime
facebook/levit-384,cello,gong
