Model_name,Most_similar,Least_similar
inception_v3,magpie,ostrich
xception,magpie,ostrich
vgg16,house_finch,ostrich
vgg19,house_finch,ostrich
resnet50,magpie,ostrich
resnet50v2,magpie,ostrich
resnet101,magpie,ostrich
resnet101v2,magpie,ostrich
resnet152,white_stork,ostrich
resnet152v2,magpie,ostrich
inception_resnet_v2,kite,ostrich
mobilenetv2_1.00_224,magpie,ostrich
densenet169,magpie,ostrich
densenet201,magpie,ostrich
NASNet,kite,ostrich
NASNet,kite,ostrich
efficientnetv2-b0,magpie,ostrich
efficientnetv2-b1,house_finch,ostrich
efficientnetv2-b2,magpie,ostrich
efficientnetv2-b3,house_finch,ostrich
efficientnetv2-s,magpie,ostrich
convnext_tiny,kite,ostrich
convnext_small,kite,ostrich
microsoft/swinv2-tiny-patch4-window8-256,crane,ostrich
apple/mobilevit-small,kite,African_grey
apple/mobilevit-xx-small,drake,lorikeet
microsoft/swin-base-patch4-window7-224,crane,ostrich
microsoft/swin-base-patch4-window12-384,crane,ostrich
microsoft/swin-tiny-patch4-window7-224,magpie,ostrich
facebook/deit-base-patch16-224,magpie,ostrich
facebook/deit-small-patch16-224,magpie,ostrich
microsoft/swinv2-small-patch4-window16-256,magpie,ostrich
microsoft/swinv2-base-patch4-window16-256,magpie,ostrich
facebook/deit-base-patch16-384,magpie,ostrich
facebook/deit-tiny-patch16-224,crane,ostrich
microsoft/cvt-13,kite,ostrich
microsoft/cvt-21,magpie,king_penguin
facebook/levit-128S,kite,ostrich
facebook/levit-128,magpie,ostrich
facebook/levit-192,magpie,ostrich
facebook/levit-256,kite,ostrich
facebook/levit-384,magpie,ostrich
