Model_name,Most_similar,Least_similar
inception_v3,miniature_schnauzer,Mexican_hairless
xception,cocker_spaniel,Mexican_hairless
vgg16,cocker_spaniel,Mexican_hairless
vgg19,cocker_spaniel,Mexican_hairless
resnet50,cocker_spaniel,Mexican_hairless
resnet50v2,Border_terrier,Japanese_spaniel
resnet101,giant_schnauzer,Mexican_hairless
resnet101v2,Labrador_retriever,Japanese_spaniel
resnet152,Irish_terrier,Mexican_hairless
resnet152v2,Labrador_retriever,Japanese_spaniel
inception_resnet_v2,Labrador_retriever,Mexican_hairless
mobilenetv2_1.00_224,Labrador_retriever,Japanese_spaniel
densenet169,cocker_spaniel,Mexican_hairless
densenet201,cocker_spaniel,Mexican_hairless
NASNet,cocker_spaniel,Irish_water_spaniel
NASNet,cocker_spaniel,Mexican_hairless
efficientnetv2-b0,Labrador_retriever,Mexican_hairless
efficientnetv2-b1,Staffordshire_bullterrier,Mexican_hairless
efficientnetv2-b2,Labrador_retriever,Mexican_hairless
efficientnetv2-b3,Labrador_retriever,Mexican_hairless
efficientnetv2-s,Labrador_retriever,Mexican_hairless
convnext_tiny,beagle,Irish_water_spaniel
convnext_small,miniature_schnauzer,Mexican_hairless
microsoft/swinv2-tiny-patch4-window8-256,Old_English_sheepdog,Irish_water_spaniel
apple/mobilevit-small,toy_terrier,Japanese_spaniel
apple/mobilevit-xx-small,Labrador_retriever,Japanese_spaniel
microsoft/swin-base-patch4-window7-224,Labrador_retriever,Mexican_hairless
microsoft/swin-base-patch4-window12-384,Labrador_retriever,Mexican_hairless
microsoft/swin-tiny-patch4-window7-224,Saint_Bernard,Mexican_hairless
facebook/deit-base-patch16-224,Labrador_retriever,Mexican_hairless
facebook/deit-small-patch16-224,Labrador_retriever,Mexican_hairless
microsoft/swinv2-small-patch4-window16-256,cocker_spaniel,Mexican_hairless
microsoft/swinv2-base-patch4-window16-256,Great_Pyrenees,Mexican_hairless
facebook/deit-base-patch16-384,cocker_spaniel,Mexican_hairless
facebook/deit-tiny-patch16-224,miniature_schnauzer,komondor
microsoft/cvt-13,cocker_spaniel,Mexican_hairless
microsoft/cvt-21,Labrador_retriever,Mexican_hairless
facebook/levit-128S,cocker_spaniel,komondor
facebook/levit-128,Bernese_mountain_dog,Mexican_hairless
facebook/levit-192,cocker_spaniel,Irish_water_spaniel
facebook/levit-256,beagle,komondor
facebook/levit-384,miniature_schnauzer,komondor
