Model_name,Most_similar,Least_similar
inception_v3,sturgeon,anemone_fish
xception,sturgeon,lionfish
vgg16,tiger_shark,lionfish
vgg19,tiger_shark,lionfish
resnet50,sturgeon,lionfish
resnet50v2,sturgeon,lionfish
resnet101,sturgeon,lionfish
resnet101v2,sturgeon,lionfish
resnet152,barracouta,lionfish
resnet152v2,sturgeon,lionfish
inception_resnet_v2,sturgeon,lionfish
mobilenetv2_1.00_224,gar,lionfish
densenet169,tiger_shark,lionfish
densenet201,tiger_shark,lionfish
NASNet,sturgeon,lionfish
NASNet,sturgeon,lionfish
efficientnetv2-b0,sturgeon,lionfish
efficientnetv2-b1,hammerhead,lionfish
efficientnetv2-b2,sturgeon,lionfish
efficientnetv2-b3,sturgeon,lionfish
efficientnetv2-s,tiger_shark,anemone_fish
convnext_tiny,tiger_shark,lionfish
convnext_small,tiger_shark,lionfish
microsoft/swinv2-tiny-patch4-window8-256,tiger_shark,lionfish
apple/mobilevit-small,sturgeon,lionfish
apple/mobilevit-xx-small,hammerhead,anemone_fish
microsoft/swin-base-patch4-window7-224,sturgeon,rock_beauty
microsoft/swin-base-patch4-window12-384,sturgeon,rock_beauty
microsoft/swin-tiny-patch4-window7-224,tiger_shark,lionfish
facebook/deit-base-patch16-224,tiger_shark,lionfish
facebook/deit-small-patch16-224,tiger_shark,lionfish
microsoft/swinv2-small-patch4-window16-256,sturgeon,lionfish
microsoft/swinv2-base-patch4-window16-256,tiger_shark,lionfish
facebook/deit-base-patch16-384,tiger_shark,lionfish
facebook/deit-tiny-patch16-224,tiger_shark,anemone_fish
microsoft/cvt-13,tiger_shark,lionfish
microsoft/cvt-21,tiger_shark,lionfish
facebook/levit-128S,tiger_shark,rock_beauty
facebook/levit-128,tiger_shark,rock_beauty
facebook/levit-192,tiger_shark,rock_beauty
facebook/levit-256,gar,anemone_fish
facebook/levit-384,tiger_shark,lionfish
