Model_name,Most_similar,Least_similar
inception_v3,Cardigan,grey_whale
xception,kelpie,grey_whale
vgg16,Tibetan_mastiff,grey_whale
vgg19,Tibetan_mastiff,grey_whale
resnet50,chow,grey_whale
resnet50v2,kelpie,grey_whale
resnet101,Tibetan_mastiff,grey_whale
resnet101v2,Border_collie,grey_whale
resnet152,chow,grey_whale
resnet152v2,Labrador_retriever,grey_whale
inception_resnet_v2,kelpie,grey_whale
mobilenetv2_1.00_224,Labrador_retriever,grey_whale
densenet169,Tibetan_mastiff,grey_whale
densenet201,Tibetan_mastiff,grey_whale
NASNet,kelpie,grey_whale
NASNet,kelpie,grey_whale
efficientnetv2-b0,Labrador_retriever,dugong
efficientnetv2-b1,Cardigan,dugong
efficientnetv2-b2,Labrador_retriever,grey_whale
efficientnetv2-b3,Labrador_retriever,grey_whale
efficientnetv2-s,kelpie,grey_whale
convnext_tiny,Great_Pyrenees,dugong
convnext_small,affenpinscher,dugong
microsoft/swinv2-tiny-patch4-window8-256,Norwegian_elkhound,grey_whale
apple/mobilevit-small,Scottish_deerhound,grey_whale
apple/mobilevit-xx-small,basset,grey_whale
microsoft/swin-base-patch4-window7-224,Shetland_sheepdog,armadillo
microsoft/swin-base-patch4-window12-384,Shetland_sheepdog,armadillo
microsoft/swin-tiny-patch4-window7-224,Eskimo_dog,armadillo
facebook/deit-base-patch16-224,kelpie,grey_whale
facebook/deit-small-patch16-224,kelpie,dugong
microsoft/swinv2-small-patch4-window16-256,German_shepherd,dugong
microsoft/swinv2-base-patch4-window16-256,Great_Pyrenees,dugong
facebook/deit-base-patch16-384,Irish_wolfhound,dugong
facebook/deit-tiny-patch16-224,Cardigan,armadillo
microsoft/cvt-13,Newfoundland,grey_whale
microsoft/cvt-21,Labrador_retriever,dugong
facebook/levit-128S,Cardigan,dugong
facebook/levit-128,chow,dugong
facebook/levit-192,chow,grey_whale
facebook/levit-256,Weimaraner,dugong
facebook/levit-384,Irish_wolfhound,grey_whale
