Model_name,Most_similar,Least_similar
inception_v3,sax,organ
xception,sax,organ
vgg16,bassoon,organ
vgg19,sax,organ
resnet50,oboe,organ
resnet50v2,flute,organ
resnet101,bassoon,organ
resnet101v2,flute,organ
resnet152,bassoon,organ
resnet152v2,flute,organ
inception_resnet_v2,sax,organ
mobilenetv2_1.00_224,flute,grand_piano
densenet169,cello,organ
densenet201,cello,organ
NASNet,bassoon,organ
NASNet,sax,organ
efficientnetv2-b0,sax,organ
efficientnetv2-b1,sax,organ
efficientnetv2-b2,sax,organ
efficientnetv2-b3,sax,organ
efficientnetv2-s,sax,organ
convnext_tiny,sax,organ
convnext_small,sax,organ
microsoft/swinv2-tiny-patch4-window8-256,sax,organ
apple/mobilevit-small,sax,organ
apple/mobilevit-xx-small,bassoon,organ
microsoft/swin-base-patch4-window7-224,oboe,organ
microsoft/swin-base-patch4-window12-384,oboe,organ
microsoft/swin-tiny-patch4-window7-224,sax,organ
facebook/deit-base-patch16-224,cello,ocarina
facebook/deit-small-patch16-224,sax,organ
microsoft/swinv2-small-patch4-window16-256,sax,organ
microsoft/swinv2-base-patch4-window16-256,sax,organ
facebook/deit-base-patch16-384,cello,organ
facebook/deit-tiny-patch16-224,flute,ocarina
microsoft/cvt-13,sax,chime
microsoft/cvt-21,cello,organ
facebook/levit-128S,French_horn,chime
facebook/levit-128,sax,chime
facebook/levit-192,sax,chime
facebook/levit-256,sax,gong
facebook/levit-384,cello,gong
