Model_name,Most_similar,Least_similar
inception_v3,quail,ostrich
xception,magpie,ostrich
vgg16,little_blue_heron,African_grey
vgg19,little_blue_heron,African_grey
resnet50,European_gallinule,African_grey
resnet50v2,magpie,ostrich
resnet101,redshank,African_grey
resnet101v2,magpie,ostrich
resnet152,European_gallinule,African_grey
resnet152v2,quail,ostrich
inception_resnet_v2,kite,ostrich
mobilenetv2_1.00_224,kite,ostrich
densenet169,partridge,ostrich
densenet201,partridge,ostrich
NASNet,kite,African_grey
NASNet,kite,king_penguin
efficientnetv2-b0,vulture,African_grey
efficientnetv2-b1,magpie,African_grey
efficientnetv2-b2,quail,African_grey
efficientnetv2-b3,magpie,African_grey
efficientnetv2-s,magpie,African_grey
convnext_tiny,magpie,ostrich
convnext_small,magpie,ostrich
microsoft/swinv2-tiny-patch4-window8-256,magpie,African_grey
apple/mobilevit-small,water_ouzel,African_grey
apple/mobilevit-xx-small,kite,African_grey
microsoft/swin-base-patch4-window7-224,crane,brambling
microsoft/swin-base-patch4-window12-384,crane,jacamar
microsoft/swin-tiny-patch4-window7-224,magpie,ostrich
facebook/deit-base-patch16-224,magpie,ostrich
facebook/deit-small-patch16-224,magpie,African_grey
microsoft/swinv2-small-patch4-window16-256,magpie,ostrich
microsoft/swinv2-base-patch4-window16-256,magpie,African_grey
facebook/deit-base-patch16-384,magpie,ostrich
facebook/deit-tiny-patch16-224,crane,ostrich
microsoft/cvt-13,magpie,African_grey
microsoft/cvt-21,magpie,African_grey
facebook/levit-128S,kite,king_penguin
facebook/levit-128,kite,ostrich
facebook/levit-192,magpie,king_penguin
facebook/levit-256,kite,ostrich
facebook/levit-384,vulture,king_penguin
