Model_name,Most_similar,Least_similar
inception_v3,Border_collie,Irish_water_spaniel
xception,Labrador_retriever,Mexican_hairless
vgg16,English_setter,Mexican_hairless
vgg19,miniature_schnauzer,Mexican_hairless
resnet50,otterhound,Mexican_hairless
resnet50v2,Labrador_retriever,Japanese_spaniel
resnet101,otterhound,Italian_greyhound
resnet101v2,Border_collie,Japanese_spaniel
resnet152,otterhound,Italian_greyhound
resnet152v2,Border_collie,Japanese_spaniel
inception_resnet_v2,Labrador_retriever,komondor
mobilenetv2_1.00_224,Labrador_retriever,Japanese_spaniel
densenet169,Border_collie,Samoyed
densenet201,Border_collie,Samoyed
NASNet,cocker_spaniel,dalmatian
NASNet,cocker_spaniel,Mexican_hairless
efficientnetv2-b0,Labrador_retriever,Mexican_hairless
efficientnetv2-b1,American_Staffordshire_terrier,Mexican_hairless
efficientnetv2-b2,Labrador_retriever,komondor
efficientnetv2-b3,Labrador_retriever,Japanese_spaniel
efficientnetv2-s,Labrador_retriever,dalmatian
convnext_tiny,Border_collie,Mexican_hairless
convnext_small,miniature_schnauzer,Mexican_hairless
microsoft/swinv2-tiny-patch4-window8-256,English_setter,dalmatian
apple/mobilevit-small,Border_collie,Mexican_hairless
apple/mobilevit-xx-small,beagle,Mexican_hairless
microsoft/swin-base-patch4-window7-224,Labrador_retriever,Mexican_hairless
microsoft/swin-base-patch4-window12-384,Labrador_retriever,Mexican_hairless
microsoft/swin-tiny-patch4-window7-224,Border_collie,komondor
facebook/deit-base-patch16-224,English_setter,Mexican_hairless
facebook/deit-small-patch16-224,American_Staffordshire_terrier,Mexican_hairless
microsoft/swinv2-small-patch4-window16-256,Border_collie,Mexican_hairless
microsoft/swinv2-base-patch4-window16-256,English_setter,Mexican_hairless
facebook/deit-base-patch16-384,English_setter,Mexican_hairless
facebook/deit-tiny-patch16-224,miniature_schnauzer,Mexican_hairless
microsoft/cvt-13,Labrador_retriever,Mexican_hairless
microsoft/cvt-21,American_Staffordshire_terrier,Mexican_hairless
facebook/levit-128S,cocker_spaniel,komondor
facebook/levit-128,miniature_schnauzer,Mexican_hairless
facebook/levit-192,cocker_spaniel,komondor
facebook/levit-256,American_Staffordshire_terrier,komondor
facebook/levit-384,English_setter,dalmatian
