Model_name,Most_similar,Least_similar
inception_v3,sturgeon,anemone_fish
xception,sturgeon,anemone_fish
vgg16,tiger_shark,anemone_fish
vgg19,tiger_shark,anemone_fish
resnet50,sturgeon,anemone_fish
resnet50v2,sturgeon,anemone_fish
resnet101,sturgeon,lionfish
resnet101v2,sturgeon,lionfish
resnet152,sturgeon,anemone_fish
resnet152v2,sturgeon,anemone_fish
inception_resnet_v2,sturgeon,anemone_fish
mobilenetv2_1.00_224,gar,lionfish
densenet169,tiger_shark,anemone_fish
densenet201,tiger_shark,anemone_fish
NASNet,sturgeon,anemone_fish
NASNet,sturgeon,anemone_fish
efficientnetv2-b0,sturgeon,lionfish
efficientnetv2-b1,gar,lionfish
efficientnetv2-b2,sturgeon,anemone_fish
efficientnetv2-b3,sturgeon,anemone_fish
efficientnetv2-s,sturgeon,anemone_fish
convnext_tiny,tiger_shark,anemone_fish
convnext_small,tiger_shark,lionfish
microsoft/swinv2-tiny-patch4-window8-256,tiger_shark,lionfish
apple/mobilevit-small,hammerhead,lionfish
apple/mobilevit-xx-small,hammerhead,anemone_fish
microsoft/swin-base-patch4-window7-224,sturgeon,rock_beauty
microsoft/swin-base-patch4-window12-384,sturgeon,rock_beauty
microsoft/swin-tiny-patch4-window7-224,tiger_shark,lionfish
facebook/deit-base-patch16-224,tiger_shark,anemone_fish
facebook/deit-small-patch16-224,tiger_shark,lionfish
microsoft/swinv2-small-patch4-window16-256,sturgeon,lionfish
microsoft/swinv2-base-patch4-window16-256,tiger_shark,lionfish
facebook/deit-base-patch16-384,tiger_shark,lionfish
facebook/deit-tiny-patch16-224,tiger_shark,anemone_fish
microsoft/cvt-13,tiger_shark,lionfish
microsoft/cvt-21,tiger_shark,lionfish
facebook/levit-128S,tiger_shark,anemone_fish
facebook/levit-128,tiger_shark,anemone_fish
facebook/levit-192,tiger_shark,anemone_fish
facebook/levit-256,tiger_shark,anemone_fish
facebook/levit-384,barracouta,anemone_fish
