Model_name,Most_similar,Least_similar
inception_v3,Cardigan,grey_whale
xception,Cardigan,grey_whale
vgg16,Irish_wolfhound,killer_whale
vgg19,Irish_wolfhound,killer_whale
resnet50,otterhound,grey_whale
resnet50v2,Border_collie,killer_whale
resnet101,Tibetan_mastiff,grey_whale
resnet101v2,Border_collie,grey_whale
resnet152,Tibetan_mastiff,grey_whale
resnet152v2,Border_collie,grey_whale
inception_resnet_v2,kelpie,killer_whale
mobilenetv2_1.00_224,Labrador_retriever,grey_whale
densenet169,Tibetan_mastiff,killer_whale
densenet201,Tibetan_mastiff,grey_whale
NASNet,kelpie,killer_whale
NASNet,kelpie,killer_whale
efficientnetv2-b0,Labrador_retriever,dugong
efficientnetv2-b1,Cardigan,grey_whale
efficientnetv2-b2,Labrador_retriever,grey_whale
efficientnetv2-b3,Cardigan,grey_whale
efficientnetv2-s,kelpie,killer_whale
convnext_tiny,timber_wolf,killer_whale
convnext_small,Dandie_Dinmont,killer_whale
microsoft/swinv2-tiny-patch4-window8-256,timber_wolf,killer_whale
apple/mobilevit-small,African_hunting_dog,grey_whale
apple/mobilevit-xx-small,beagle,killer_whale
microsoft/swin-base-patch4-window7-224,Border_collie,grey_whale
microsoft/swin-base-patch4-window12-384,Border_collie,grey_whale
microsoft/swin-tiny-patch4-window7-224,timber_wolf,killer_whale
facebook/deit-base-patch16-224,timber_wolf,grey_whale
facebook/deit-small-patch16-224,patas,grey_whale
microsoft/swinv2-small-patch4-window16-256,timber_wolf,killer_whale
microsoft/swinv2-base-patch4-window16-256,timber_wolf,grey_whale
facebook/deit-base-patch16-384,Irish_wolfhound,killer_whale
facebook/deit-tiny-patch16-224,patas,killer_whale
microsoft/cvt-13,kelpie,grey_whale
microsoft/cvt-21,Border_collie,killer_whale
facebook/levit-128S,dhole,dugong
facebook/levit-128,timber_wolf,dugong
facebook/levit-192,timber_wolf,killer_whale
facebook/levit-256,cougar,killer_whale
facebook/levit-384,timber_wolf,killer_whale
