Model_name,Most_similar,Least_similar
inception_v3,cello,organ
xception,sax,organ
vgg16,bassoon,ocarina
vgg19,oboe,chime
resnet50,oboe,organ
resnet50v2,cello,organ
resnet101,oboe,organ
resnet101v2,cello,organ
resnet152,oboe,organ
resnet152v2,cornet,organ
inception_resnet_v2,cornet,organ
mobilenetv2_1.00_224,sax,organ
densenet169,cello,organ
densenet201,cello,organ
NASNet,bassoon,organ
NASNet,sax,organ
efficientnetv2-b0,sax,organ
efficientnetv2-b1,sax,organ
efficientnetv2-b2,sax,organ
efficientnetv2-b3,sax,organ
efficientnetv2-s,sax,organ
convnext_tiny,sax,ocarina
convnext_small,cornet,ocarina
microsoft/swinv2-tiny-patch4-window8-256,cornet,ocarina
apple/mobilevit-small,sax,organ
apple/mobilevit-xx-small,oboe,organ
microsoft/swin-base-patch4-window7-224,trombone,organ
microsoft/swin-base-patch4-window12-384,trombone,organ
microsoft/swin-tiny-patch4-window7-224,sax,ocarina
facebook/deit-base-patch16-224,cello,ocarina
facebook/deit-small-patch16-224,sax,ocarina
microsoft/swinv2-small-patch4-window16-256,sax,ocarina
microsoft/swinv2-base-patch4-window16-256,sax,ocarina
facebook/deit-base-patch16-384,sax,ocarina
facebook/deit-tiny-patch16-224,bassoon,ocarina
microsoft/cvt-13,sax,organ
microsoft/cvt-21,sax,organ
facebook/levit-128S,sax,chime
facebook/levit-128,sax,chime
facebook/levit-192,cello,ocarina
facebook/levit-256,sax,chime
facebook/levit-384,cornet,gong
